Number of clusters	Members in cluster	Percentage of total
1424	1	.01300
1425	1	.01300
1426	1	.01300
1427	1	.01300
1428	1	.01300
1429	1	.01300
1430	1	.01300
1431	1	.01300
1432	1	.01300
1433	1	.01300
1434	1	.01300
1435	1	.01300
1436	1	.01300
1437	1	.01300
1438	1	.01300
1439	1	.01300
1440	1	.01300
1441	1	.01300
1442	1	.01300
1443	1	.01300
1444	1	.01300
1445	1	.01300
1446	1	.01300
1447	1	.01300
1448	1	.01300
1449	1	.01300
1450	1	.01300
1451	1	.01300
1452	1	.01300
1453	1	.01300
1454	1	.01300
1455	1	.01300
1456	1	.01300
1457	1	.01300
1458	1	.01300
1459	1	.01300
1460	1	.01300
1461	1	.01300
1462	1	.01300
1463	1	.01300
1464	1	.01300
1465	1	.01300
1466	1	.01300
1467	1	.01300
1468	1	.01300
1469	1	.01300
1470	1	.01300
1471	1	.01300
1472	1	.01300
1473	1	.01300
1474	1	.01300
1475	1	.01300
1476	1	.01300
1477	1	.01300
1478	1	.01300
1479	1	.01300
1480	1	.01300
1481	1	.01300
1482	1	.01300
1483	1	.01300
1484	1	.01300
1485	1	.01300
1486	1	.01300
1487	1	.01300
1488	1	.01300
1489	1	.01300
1490	1	.01300
1491	1	.01300
1492	1	.01300
1493	1	.01300
1494	1	.01300
1495	1	.01300
1496	1	.01300
1497	1	.01300
1498	1	.01300
1499	1	.01300
1500	1	.01300
1501	1	.01300
1502	1	.01300
1503	1	.01300
1504	1	.01300
1505	1	.01300
1506	1	.01300
1507	1	.01300
1508	1	.01300
1509	1	.01300
1510	1	.01300
1511	1	.01300
1512	1	.01300
1513	1	.01300
1514	1	.01300
1515	1	.01300
1516	1	.01300
1517	1	.01300
1518	1	.01300
1519	1	.01300
1520	1	.01300
1521	1	.01300
1522	1	.01300
1523	1	.01300
1524	1	.01300
1525	1	.01300
1526	1	.01300
1527	1	.01300
1528	1	.01300
1529	1	.01300
1530	1	.01300
1531	1	.01300
1532	1	.01300
1533	1	.01300
1534	1	.01300
1535	1	.01300
1536	1	.01300
1537	1	.01300
1538	1	.01300
1539	1	.01300
1540	1	.01300
1541	1	.01300
1542	1	.01300
1543	1	.01300
1544	1	.01300
1545	1	.01300
1546	1	.01300
1547	1	.01300
1548	1	.01300
1549	1	.01300
1550	1	.01300
1551	1	.01300
1552	1	.01300
1553	1	.01300
1554	1	.01300
1555	1	.01300
1556	1	.01300
1557	1	.01300
1558	1	.01300
1559	1	.01300
1560	1	.01300
1561	1	.01300
1562	1	.01300
1563	1	.01300
1564	1	.01300
1565	1	.01300
1566	1	.01300
1567	1	.01300
1568	1	.01300
1569	1	.01300
1570	1	.01300
1571	1	.01300
1572	1	.01300
1573	1	.01300
1574	1	.01300
1575	1	.01300
1576	1	.01300
1577	1	.01300
1578	1	.01300
1579	1	.01300
1580	1	.01300
1581	1	.01300
1582	1	.01300
1583	1	.01300
1584	1	.01300
1585	1	.01300
1586	1	.01300
1587	1	.01300
1588	1	.01300
1589	1	.01300
1590	1	.01300
1591	1	.01300
1592	1	.01300
1593	1	.01300
1594	1	.01300
1595	1	.01300
1596	1	.01300
1597	1	.01300
1598	1	.01300
1599	1	.01300
1600	1	.01300
1601	1	.01300
1602	1	.01300
1603	1	.01300
1604	1	.01300
1605	1	.01300
1606	1	.01300
1607	1	.01300
1608	1	.01300
1609	1	.01300
1610	1	.01300
1611	1	.01300
1612	1	.01300
1613	1	.01300
1614	1	.01300
1615	1	.01300
1616	1	.01300
1617	1	.01300
1618	1	.01300
1619	1	.01300
1620	1	.01300
1621	1	.01300
1622	1	.01300
1623	1	.01300
1624	1	.01300
1625	1	.01300
1626	1	.01300
1627	1	.01300
1628	1	.01300
1629	1	.01300
1630	1	.01300
1631	1	.01300
1632	1	.01300
1633	1	.01300
1634	1	.01300
1635	1	.01300
1636	1	.01300
1637	1	.01300
1638	1	.01300
1639	1	.01300
1640	1	.01300
1641	1	.01300
1642	1	.01300
1643	1	.01300
1644	1	.01300
1645	1	.01300
1646	1	.01300
1647	1	.01300
1648	1	.01300
1649	1	.01300
1650	1	.01300
1651	1	.01300
1652	1	.01300
1653	1	.01300
1654	1	.01300
1655	1	.01300
1656	1	.01300
1657	1	.01300
